"month","day","service","temp","pressure","humidity","wind_speed","wind_deg","rain_3h","clouds_all","weekday_Monday","weekday_Saturday","weekday_Sunday","weekday_Thursday","weekday_Tuesday","weekday_Wednesday","weather_main_Clouds","weather_main_Drizzle","weather_main_Fog","weather_main_Mist","weather_main_Rain","weather_main_Snow"
4,16,87,277.230459770115,1014.4367816092,69.9425287356322,2.40229885057471,130.574712643678,0.1,59.0344827586207,0,0,1,0,0,0,1,0,0,0,0,0
4,17,84,277.935714285714,1016.32142857143,73.3452380952381,7.01190476190476,124.285714285714,74.3525,70.6666666666667,1,0,0,0,0,0,0,0,0,0,1,0
4,18,22,275.195454545455,1026.68181818182,66.4090909090909,3.63636363636364,58.1818181818182,0,20.7272727272727,0,0,0,0,1,0,1,0,0,0,0,0
4,19,82,278.502707317073,1035.67073170732,48.5731707317073,2.25609756097561,286.365853658537,0,42.5853658536585,0,0,0,0,0,1,1,0,0,0,0,0
4,20,134,280.271126865672,1030.35820895522,64.6044776119403,5.90298507462687,258.014925373134,0,47.2089552238806,0,0,0,1,0,0,1,0,0,0,0,0
4,21,153,282.823202614379,1014.24836601307,80.7385620915033,9.54901960784314,275.555555555556,25.03,71.7385620915033,0,0,0,0,0,0,0,0,0,0,1,0
4,22,123,280.54837398374,1012.12195121951,60.3739837398374,6.47967479674797,312.276422764228,5.88,54.5040650406504,0,1,0,0,0,0,1,0,0,0,0,0
4,23,97,279.725855670103,1014.49484536082,61.4639175257732,7.38144329896907,299.412371134021,0,54.2164948453608,0,0,1,0,0,0,0,0,0,0,0,0
4,24,106,280.152688679245,1002.96226415094,74.3584905660377,8.4622641509434,248.603773584906,60.4375,67.5094339622642,1,0,0,0,0,0,0,0,0,0,1,0
4,25,102,278.159803921569,1001.06862745098,66.2254901960784,6.16666666666667,268.039215686275,0,41.843137254902,0,0,0,0,1,0,1,0,0,0,0,0
4,26,113,278.707522123894,1009.69911504425,79.0442477876106,3.14159292035398,242.035398230089,2.265,42.9026548672566,0,0,0,0,0,1,0,0,0,0,0,0
4,27,136,280.282352941176,1011.19852941176,75.6470588235294,4.17647058823529,225.661764705882,0,36.0588235294118,0,0,0,1,0,0,0,0,0,1,0,0
4,28,328,280.296341463415,1011.60975609756,86.6158536585366,4.07012195121951,165.518292682927,281.2425,87.0731707317073,0,0,0,0,0,0,0,0,0,0,1,0
4,29,190,278.792105263158,1017.07368421053,86.1578947368421,2.55789473684211,104.526315789474,26.69,45.4105263157895,0,1,0,0,0,0,0,0,0,0,1,0
